Interval=	0.001 s
ExcelDateTime=	4.6199553692194582e+004	6/26/2026 13:17:19.005612
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0.079	-0.0065625	0.0096875	0.1915625	-0.3303125	0.3203125	0.010625
0.08	-0.0028125	0.0071875	0.1934375	-0.33	0.3215625	0.0103125
0.081	-0.0040625	0.01125	0.190625	-0.3325	0.3225	0.0075
0.082	-0.008125	0.006875	0.193125	-0.33125	0.319375	0.00625
0.083	-0.0040625	0.0096875	0.1921875	-0.3325	0.3196875	0.009375
0.084	-0.00625	0.0096875	0.1921875	-0.33125	0.320625	0.0096875
0.085	-0.0059375	0.0096875	0.194375	-0.3328125	0.3225	0.0084375
0.086	-0.006875	0.0084375	0.1953125	-0.331875	0.3178125	0.0103125
0.087	-0.0053125	0.0059375	0.1978125	-0.3334375	0.3196875	0.0103125
0.088	-0.005625	0.009375	0.191875	-0.33	0.324375	0.01
0.089	-0.0071875	0.009375	0.195	-0.3315625	0.32125	0.00875
0.09	-0.0071875	0.0096875	0.1953125	-0.33125	0.3215625	0.0078125
0.091	-0.00375	0.006875	0.1953125	-0.3346875	0.3215625	0.010625
0.092	-0.003125	0.0084375	0.1940625	-0.331875	0.3234375	0.01
0.093	-0.0046875	0.0103125	0.195625	-0.3284375	0.3203125	0.0084375
0.094	-0.005	0.0090625	0.1953125	-0.3315625	0.320625	0.0065625
0.095	-0.0075	0.0084375	0.195	-0.3315625	0.32125	0.00875
0.096	-0.005625	0.0103125	0.193125	-0.33	0.3215625	0.009375
0.097	-0.0053125	0.0040625	0.194375	-0.3315625	0.32125	0.01125
0.098	-0.004375	0.00875	0.1909375	-0.3315625	0.3190625	0.00625
0.099	-0.005625	0.010625	0.1921875	-0.328125	0.32375	0.0090625
0.1	-0.0040625	0.008125	0.1940625	-0.3321875	0.3228125	0.00875
