Interval=	0.001 s
ExcelDateTime=	4.6199490907148182e+004	6/26/2026 11:46:54.377603
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	0.0475	0.058125	0.808125	1.456875	-1.077188	-0.2275
0.001	0.0515625	0.0571875	0.806875	1.454375	-1.0775	-0.2275
0.002	0.05125	0.055	0.80875	1.453437	-1.075625	-0.2328125
0.003	0.0490625	0.059375	0.8071875	1.453437	-1.077813	-0.2290625
0.004	0.051875	0.0590625	0.805625	1.454063	-1.075938	-0.228125
0.005	0.0540625	0.059375	0.810625	1.454375	-1.0775	-0.2275
0.006	0.051875	0.0603125	0.8046875	1.4525	-1.075938	-0.2296875
0.007	0.04875	0.0578125	0.8075	1.455	-1.076563	-0.22875
0.008	0.0484375	0.0578125	0.8059375	1.451875	-1.078125	-0.2265625
0.009	0.050625	0.05875	0.806875	1.4525	-1.075313	-0.2278125
0.01	0.05125	0.0590625	0.806875	1.453125	-1.079063	-0.22875
0.011	0.05	0.0553125	0.806875	1.453125	-1.075938	-0.23
0.012	0.05	0.0571875	0.809375	1.454063	-1.077188	-0.2278125
0.013	0.053125	0.0575	0.8075	1.453125	-1.077188	-0.2309375
0.014	0.051875	0.0565625	0.8078125	1.452813	-1.077188	-0.229375
0.015	0.051875	0.056875	0.806875	1.454375	-1.075	-0.2278125
0.016	0.046875	0.0571875	0.810625	1.453437	-1.07625	-0.2321875
0.017	0.04875	0.059375	0.8075	1.456563	-1.077188	-0.23125
0.018	0.0515625	0.05875	0.8075	1.453437	-1.075313	-0.22875
0.019	0.050625	0.0553125	0.806875	1.454063	-1.0775	-0.2309375
0.02	0.04875	0.0609375	0.806875	1.453437	-1.0775	-0.2328125
0.021	0.051875	0.058125	0.8071875	1.454688	-1.075313	-0.2278125
0.022	0.05	0.0559375	0.8059375	1.455938	-1.076563	-0.2271875
0.023	0.0490625	0.06125	0.8084375	1.45125	-1.07625	-0.2290625
0.024	0.0509375	0.0634375	0.809375	1.452813	-1.076563	-0.229375
0.025	0.0515625	0.0578125	0.805	1.454375	-1.075625	-0.2284375
0.026	0.054375	0.0603125	0.809375	1.451875	-1.075625	-0.2290625
0.027	0.049375	0.0559375	0.808125	1.453437	-1.07625	-0.230625
0.028	0.0528125	0.058125	0.8084375	1.454063	-1.077188	-0.2290625
0.029	0.0465625	0.0571875	0.805625	1.453125	-1.077813	-0.2296875
0.03	0.0540625	0.0584375	0.806875	1.451875	-1.074375	-0.229375
0.031	0.05375	0.056875	0.8090625	1.4525	-1.077188	-0.230625
0.032	0.0490625	0.05875	0.806875	1.454375	-1.075	-0.229375
0.033	0.05	0.0590625	0.80875	1.450938	-1.0775	-0.2290625
0.034	0.04875	0.0578125	0.8084375	1.454063	-1.076563	-0.2296875
0.035	0.0484375	0.05375	0.8075	1.455313	-1.075938	-0.2275
0.036	0.0509375	0.055	0.80875	1.451875	-1.075313	-0.2303125
0.037	0.0484375	0.058125	0.806875	1.453437	-1.076563	-0.2290625
0.038	0.050625	0.0590625	0.80875	1.451563	-1.075938	-0.22875
0.039	0.050625	0.05625	0.8078125	1.454063	-1.076563	-0.2259375
0.04	0.0496875	0.059375	0.806875	1.454375	-1.075625	-0.230625
0.041	0.05	0.0565625	0.8078125	1.454688	-1.075938	-0.2303125
0.042	0.051875	0.0571875	0.805625	1.452188	-1.074688	-0.228125
0.043	0.0534375	0.056875	0.8071875	1.45375	-1.078125	-0.230625
0.044	0.0534375	0.056875	0.805	1.4525	-1.076875	-0.2321875
0.045	0.051875	0.060625	0.806875	1.45375	-1.075938	-0.228125
0.046	0.049375	0.060625	0.80625	1.45375	-1.0775	-0.2278125
0.047	0.0515625	0.0565625	0.8065625	1.4525	-1.075625	-0.2296875
0.048	0.051875	0.059375	0.8053125	1.452813	-1.073438	-0.2284375
0.049	0.0496875	0.058125	0.8040625	1.454688	-1.077188	-0.2296875
0.05	0.04875	0.0590625	0.8096875	1.453437	-1.078125	-0.2278125
0.051	0.0515625	0.0603125	0.809375	1.451875	-1.0775	-0.2290625
0.052	0.051875	0.0571875	0.81	1.45375	-1.078437	-0.2315625
0.053	0.054375	0.056875	0.81	1.452813	-1.077813	-0.2303125
0.054	0.0503125	0.058125	0.8078125	1.454375	-1.0775	-0.2315625
0.055	0.0509375	0.06	0.8084375	1.455	-1.079063	-0.2309375
0.056	0.0525	0.06	0.810625	1.455625	-1.080938	-0.226875
0.057	0.0509375	0.0578125	0.808125	1.454375	-1.0775	-0.2303125
0.058	0.04875	0.0596875	0.809375	1.45125	-1.076875	-0.229375
0.059	0.050625	0.059375	0.8071875	1.455938	-1.076875	-0.228125
0.06	0.0515625	0.0596875	0.8071875	1.455625	-1.074375	-0.231875
0.061	0.050625	0.0571875	0.80875	1.454688	-1.075625	-0.2271875
0.062	0.0515625	0.0603125	0.8090625	1.453437	-1.077188	-0.2265625
0.063	0.0484375	0.0609375	0.8053125	1.455313	-1.074062	-0.2271875
