Interval=	0.001 s
ExcelDateTime=	4.6199487957854508e+004	6/26/2026 11:42:39.55863
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0	0.026875	0.0040625	0.8071875	-1.419688	1.064375	-0.21125
0.001	0.025625	0.001875	0.81	-1.424063	1.065	-0.206875
0.002	0.0259375	0.0015625	0.8078125	-1.419375	1.067188	-0.2065625
0.003	0.024375	0.000625	0.8075	-1.418438	1.065625	-0.2075
0.004	0.025	0.000625	0.8065625	-1.42125	1.067188	-0.2078125
0.005	0.0284375	0	0.8084375	-1.420625	1.06625	-0.20625
0.006	0.02625	0	0.8084375	-1.422187	1.065	-0.2053125
0.007	0.0265625	0.0003125	0.808125	-1.42375	1.068437	-0.2075
0.008	0.0265625	0.00125	0.8078125	-1.422187	1.068125	-0.2109375
0.009	0.0234375	0.0034375	0.81	-1.4225	1.065	-0.210625
0.01	0.021875	0.003125	0.8103125	-1.424688	1.067188	-0.211875
0.011	0.0253125	0.005	0.809375	-1.424375	1.0675	-0.2115625
0.012	0.0221875	0.0028125	0.8071875	-1.422187	1.065	-0.2125
0.013	0.02375	0.003125	0.8084375	-1.420625	1.067813	-0.208125
0.014	0.024375	0.0009375	0.808125	-1.418125	1.07	-0.2103125
0.015	0.0253125	-0.0003125	0.8090625	-1.419063	1.066563	-0.21
0.016	0.0265625	-0.0015625	0.809375	-1.421875	1.06625	-0.209375
0.017	0.02125	-0.0009375	0.8071875	-1.419688	1.067813	-0.2121875
0.018	0.0253125	0	0.8075	-1.420625	1.065313	-0.2071875
0.019	0.0265625	0.0021875	0.808125	-1.419063	1.06875	-0.2084375
0.02	0.0265625	0.0028125	0.8090625	-1.423438	1.06875	-0.2103125
0.021	0.025625	0.003125	0.8065625	-1.42125	1.06875	-0.21125
0.022	0.025625	0.0021875	0.8075	-1.423125	1.0675	-0.206875
0.023	0.0284375	0.0046875	0.81	-1.421563	1.068437	-0.208125
0.024	0.025625	0.0021875	0.808125	-1.42375	1.067188	-0.2096875
0.025	0.0278125	0.00125	0.8090625	-1.422187	1.068437	-0.2109375
0.026	0.0225	0.000625	0.809375	-1.424688	1.065	-0.209375
0.027	0.0253125	-0.001875	0.80625	-1.422813	1.06875	-0.2103125
0.028	0.0253125	0.000625	0.8090625	-1.422187	1.067188	-0.2121875
0.029	0.0225	0.0015625	0.8075	-1.420938	1.069063	-0.2115625
0.03	0.023125	0.000625	0.8078125	-1.42375	1.066563	-0.2071875
0.031	0.0221875	-0.00125	0.8090625	-1.424688	1.069375	-0.2090625
0.032	0.0253125	0.0028125	0.8071875	-1.423438	1.069375	-0.21125
0.033	0.02375	0.00125	0.8071875	-1.423125	1.06625	-0.2059375
0.034	0.0234375	0.003125	0.8096875	-1.422187	1.065313	-0.206875
0.035	0.02625	0.0034375	0.8084375	-1.42125	1.064688	-0.2071875
0.036	0.0275	0.0028125	0.808125	-1.423125	1.064062	-0.206875
0.037	0.0271875	-0.0034375	0.8078125	-1.421875	1.06625	-0.2075
0.038	0.028125	-0.00125	0.8071875	-1.423438	1.065	-0.2090625
0.039	0.029375	0	0.810625	-1.42375	1.063125	-0.204375
0.04	0.029375	-0.0009375	0.8090625	-1.423438	1.068125	-0.205
0.041	0.026875	-0.0009375	0.8090625	-1.423438	1.063438	-0.2078125
0.042	0.0275	0.0003125	0.808125	-1.4225	1.06875	-0.2084375
0.043	0.0278125	-0.0003125	0.806875	-1.423125	1.06625	-0.2059375
0.044	0.0284375	-0.000625	0.806875	-1.4225	1.064375	-0.2075
0.045	0.0278125	0.0034375	0.806875	-1.420938	1.067188	-0.2109375
0.046	0.0240625	0.003125	0.8071875	-1.42	1.067188	-0.21125
0.047	0.025625	0.00375	0.8071875	-1.41875	1.064375	-0.2096875
0.048	0.0265625	0.0034375	0.8075	-1.419688	1.063438	-0.2115625
0.049	0.0265625	0.001875	0.8096875	-1.419688	1.066875	-0.2115625
0.05	0.0278125	0.0028125	0.8040625	-1.42125	1.066875	-0.2096875
0.051	0.025625	0.001875	0.8071875	-1.420938	1.066875	-0.2090625
0.052	0.0259375	0.0021875	0.8078125	-1.418438	1.066563	-0.2071875
0.053	0.02875	0.0003125	0.81	-1.420313	1.066563	-0.2053125
0.054	0.0278125	0.00125	0.809375	-1.425938	1.068437	-0.2096875
0.055	0.0271875	-0.0015625	0.8096875	-1.420938	1.065	-0.2075
0.056	0.025	0.0025	0.8090625	-1.422187	1.066563	-0.2075
0.057	0.02625	0.0009375	0.8109375	-1.4225	1.065938	-0.2084375
0.058	0.024375	-0.000625	0.8096875	-1.425	1.07	-0.2109375
0.059	0.0253125	0.0034375	0.8075	-1.422187	1.067188	-0.21
0.06	0.025625	0.001875	0.8075	-1.423125	1.070625	-0.21
0.061	0.025	0.0025	0.8090625	-1.422187	1.065938	-0.21
0.062	0.0234375	0.0015625	0.809375	-1.42125	1.06625	-0.2090625
0.063	0.0240625	0.0003125	0.8071875	-1.42	1.06875	-0.208125
0.064	0.0265625	0.0021875	0.809375	-1.4225	1.068125	-0.2084375
0.065	0.0215625	-0.0009375	0.80875	-1.422813	1.069688	-0.20875
0.066	0.0215625	0.001875	0.809375	-1.42125	1.068437	-0.21125
0.067	0.0234375	-0.000625	0.809375	-1.420938	1.0675	-0.2096875
