Interval=	0.001 s
ExcelDateTime=	4.6199492561225590e+004	6/26/2026 11:49:17.289891
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
Range=	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V	10.000 V
0.085	0.0128125	0.02125	0.7984375	1.434063	1.088437	0.25875
0.086	0.0075	0.0225	0.8009375	1.43125	1.08625	0.255625
0.087	0.0084375	0.0215625	0.8009375	1.43125	1.089687	0.2571875
0.088	0.01125	0.02125	0.8034375	1.428438	1.089687	0.2575
0.089	0.0071875	0.020625	0.8028125	1.430625	1.089687	0.2596875
0.09	0.008125	0.0209375	0.8	1.429688	1.090625	0.2621875
0.091	0.0075	0.0225	0.8003125	1.43125	1.089063	0.2628125
0.092	0.00625	0.0240625	0.8009375	1.430625	1.087813	0.2615625
0.093	0.0084375	0.0209375	0.8	1.431875	1.090313	0.2575
0.094	0.0103125	0.0209375	0.8003125	1.429688	1.088125	0.26125
0.095	0.0096875	0.021875	0.803125	1.43125	1.090313	0.2584375
0.096	0.00875	0.0203125	0.8003125	1.430938	1.0875	0.2584375
0.097	0.0125	0.0234375	0.79875	1.43125	1.089687	0.258125
0.098	0.0128125	0.0203125	0.8009375	1.429375	1.088437	0.2575
0.099	0.0115625	0.0221875	0.8	1.429063	1.089375	0.2584375
0.1	0.0084375	0.02125	0.7996875	1.428125	1.089687	0.2603125
0.101	0.01	0.0225	0.8009375	1.430938	1.088437	0.25875
0.102	0.009375	0.0209375	0.7990625	1.432813	1.090625	0.26
0.103	0.008125	0.0215625	0.80125	1.430938	1.0875	0.2621875
0.104	0.00625	0.0221875	0.7975	1.430938	1.087813	0.261875
0.105	0.005625	0.023125	0.800625	1.43125	1.089375	0.2628125
0.106	0.008125	0.021875	0.79875	1.430625	1.08875	0.261875
0.107	0.006875	0.0240625	0.79875	1.429375	1.09125	0.264375
0.108	0.008125	0.023125	0.8021875	1.431563	1.088125	0.2609375
0.109	0.005625	0.0209375	0.7996875	1.432813	1.08875	0.263125
0.11	0.0075	0.0228125	0.79875	1.430625	1.089375	0.260625
0.111	0.0059375	0.0228125	0.800625	1.43375	1.089063	0.26
0.112	0.00625	0.0271875	0.80125	1.430938	1.089687	0.261875
0.113	0.0084375	0.0240625	0.79875	1.434688	1.090938	0.260625
0.114	0.0071875	0.0253125	0.8009375	1.429375	1.089063	0.259375
0.115	0.0090625	0.025	0.80125	1.434375	1.09	0.259375
0.116	0.0078125	0.025625	0.799375	1.432813	1.089687	0.2553125
0.117	0.004375	0.0240625	0.80125	1.430313	1.09125	0.256875
0.118	0.0071875	0.0253125	0.8015625	1.43375	1.089375	0.255625
0.119	0.0084375	0.021875	0.803125	1.432187	1.090313	0.2596875
0.12	0.00875	0.020625	0.80125	1.432813	1.089687	0.2571875
0.121	0.0103125	0.0259375	0.8	1.432187	1.086563	0.260625
0.122	0.0103125	0.021875	0.8025	1.43125	1.089687	0.2596875
0.123	0.00875	0.02375	0.80125	1.432813	1.090938	0.259375
0.124	0.0084375	0.024375	0.799375	1.434063	1.09	0.2590625
0.125	0.0103125	0.023125	0.803125	1.43	1.089375	0.2584375
0.126	0.0090625	0.0215625	0.80125	1.432187	1.0875	0.2603125
0.127	0.008125	0.023125	0.8003125	1.43125	1.090313	0.26125
0.128	0.0075	0.0215625	0.8025	1.431563	1.089375	0.259375
0.129	0.0075	0.0209375	0.80125	1.43125	1.090625	0.2603125
0.13	0.006875	0.02125	0.79875	1.42875	1.08875	0.26375
0.131	0.009375	0.0196875	0.8009375	1.42875	1.089687	0.26
0.132	0.010625	0.020625	0.8021875	1.430625	1.085625	0.25875
0.133	0.01125	0.0196875	0.798125	1.428438	1.084688	0.2590625
0.134	0.0090625	0.0225	0.798125	1.43	1.088437	0.26
0.135	0.006875	0.0215625	0.7996875	1.430625	1.089375	0.25875
0.136	0.0125	0.021875	0.8	1.429688	1.088125	0.2603125
0.137	0.01	0.0190625	0.8003125	1.43125	1.08625	0.25875
0.138	0.010625	0.02125	0.80125	1.43	1.089063	0.2590625
0.139	0.0121875	0.0190625	0.80125	1.429688	1.089375	0.2596875
0.14	0.01	0.019375	0.800625	1.42875	1.085938	0.2615625
0.141	0.0096875	0.0234375	0.79875	1.431563	1.087188	0.259375
0.142	0.0090625	0.0228125	0.799375	1.43	1.087813	0.2621875
0.143	0.0084375	0.020625	0.80125	1.430625	1.086563	0.260625
0.144	0.00875	0.019375	0.8	1.43	1.089687	0.259375
0.145	0.0046875	0.0203125	0.800625	1.431563	1.088125	0.2584375
0.146	0.0090625	0.0228125	0.8021875	1.429688	1.089687	0.2565625
0.147	0.011875	0.02	0.79875	1.429063	1.085313	0.2575
0.148	0.0103125	0.0203125	0.796875	1.432187	1.085625	0.259375
0.149	0.0090625	0.0228125	0.7975	1.431875	1.089063	0.258125
0.15	0.0059375	0.0215625	0.8009375	1.430938	1.089375	0.2621875
0.151	0.008125	0.02125	0.8	1.430625	1.088125	0.263125
0.152	0.008125	0.02375	0.8003125	1.43375	1.089687	0.261875
0.153	0.008125	0.0228125	0.7990625	1.43	1.0875	0.26125
0.154	0.006875	0.0221875	0.7984375	1.430625	1.090313	0.2625
0.155	0.009375	0.0259375	0.8028125	1.433437	1.0875	0.2590625
0.156	0.00875	0.0246875	0.800625	1.43125	1.089375	0.259375
0.157	0.00625	0.02625	0.80125	1.4325	1.08625	0.26
0.158	0.00875	0.024375	0.801875	1.431563	1.090313	0.2575
0.159	0.010625	0.02375	0.7996875	1.433125	1.089063	0.260625
0.16	0.00875	0.02125	0.8009375	1.434063	1.088437	0.2596875
0.161	0.0075	0.0240625	0.8009375	1.433125	1.090938	0.2596875
0.162	0.0103125	0.0265625	0.803125	1.43125	1.087188	0.2596875
0.163	0.013125	0.0240625	0.8009375	1.432813	1.089063	0.2621875
0.164	0.0096875	0.0234375	0.8021875	1.434063	1.090938	0.2615625
0.165	0.0071875	0.0215625	0.8025	1.433125	1.090313	0.2615625
0.166	0.0075	0.02125	0.800625	1.431563	1.088437	0.2584375
0.167	0.0075	0.02375	0.801875	1.4325	1.090938	0.2571875
0.168	0.01125	0.0234375	0.800625	1.433125	1.08875	0.256875
0.169	0.01	0.023125	0.800625	1.43125	1.089063	0.259375
0.17	0.0078125	0.0240625	0.8003125	1.431875	1.090938	0.26125
0.171	0.0090625	0.0203125	0.8015625	1.431875	1.090313	0.2609375
0.172	0.01125	0.020625	0.801875	1.429688	1.089063	0.2590625
0.173	0.0090625	0.0203125	0.8	1.430625	1.090938	0.2628125
0.174	0.0096875	0.0215625	0.79875	1.433125	1.090313	0.26125
0.175	0.01	0.0209375	0.798125	1.431875	1.090938	0.259375
0.176	0.00875	0.0215625	0.8021875	1.4325	1.090313	0.259375
0.177	0.0096875	0.0190625	0.8	1.430938	1.090313	0.2578125
0.178	0.008125	0.0240625	0.8003125	1.431563	1.08875	0.263125
0.179	0.0071875	0.0221875	0.8015625	1.42875	1.086875	0.2615625
0.18	0.006875	0.0221875	0.8025	1.43	1.089063	0.259375
0.181	0.0103125	0.0225	0.8003125	1.428125	1.088437	0.2603125
0.182	0.0065625	0.0228125	0.798125	1.43125	1.087188	0.259375
0.183	0.01	0.024375	0.8034375	1.430625	1.09	0.2578125
0.184	0.0059375	0.023125	0.7959375	1.429375	1.08875	0.2584375
0.185	0.008125	0.0209375	0.7984375	1.431875	1.089687	0.260625
0.186	0.0078125	0.0221875	0.8028125	1.429375	1.09	0.2590625
0.187	0.0109375	0.020625	0.7984375	1.429688	1.089375	0.259375
0.188	0.0109375	0.0221875	0.7978125	1.42875	1.090313	0.259375
0.189	0.011875	0.0203125	0.799375	1.430625	1.08875	0.2596875
0.19	0.0059375	0.0253125	0.7984375	1.430938	1.09	0.26
0.191	0.008125	0.0221875	0.801875	1.431563	1.089687	0.2615625
0.192	0.008125	0.021875	0.80125	1.43125	1.089687	0.261875
0.193	0.01	0.0240625	0.796875	1.4325	1.08875	0.2578125
0.194	0.006875	0.0240625	0.7996875	1.433125	1.085938	0.256875
0.195	0.0075	0.02375	0.8015625	1.434063	1.08875	0.260625
0.196	0.011875	0.02625	0.7996875	1.431875	1.090313	0.258125
0.197	0.01	0.0225	0.800625	1.430313	1.087813	0.256875
0.198	0.0121875	0.02125	0.8021875	1.429375	1.0875	0.2584375
0.199	0.0090625	0.024375	0.7978125	1.432187	1.090313	0.258125
0.2	0.0090625	0.0225	0.799375	1.430938	1.088437	0.2575
0.201	0.0084375	0.0221875	0.803125	1.430938	1.089375	0.260625
0.202	0.0059375	0.0215625	0.8021875	1.43	1.088125	0.2625
0.203	0.0115625	0.021875	0.8015625	1.429063	1.090938	0.2603125
0.204	0.009375	0.0246875	0.80125	1.432813	1.08875	0.2578125
0.205	0.008125	0.02375	0.801875	1.430938	1.087813	0.261875
0.206	0.008125	0.023125	0.799375	1.431563	1.09	0.259375
0.207	0.0109375	0.02375	0.7978125	1.432813	1.08625	0.256875
0.208	0.0103125	0.0234375	0.8003125	1.431563	1.089687	0.2584375
0.209	0.0096875	0.0234375	0.8025	1.43	1.089375	0.2571875
0.21	0.006875	0.0203125	0.803125	1.430938	1.089063	0.25625
0.211	0.01	0.0240625	0.80125	1.431875	1.089687	0.259375
0.212	0.0125	0.0228125	0.80125	1.434688	1.087188	0.260625
0.213	0.00875	0.0221875	0.801875	1.431875	1.089063	0.26
0.214	0.0103125	0.0215625	0.80125	1.4325	1.089375	0.2590625
0.215	0.00875	0.0209375	0.801875	1.430313	1.089375	0.2590625
0.216	0.008125	0.0225	0.80125	1.429688	1.087813	0.26375
0.217	0.0065625	0.02125	0.800625	1.430938	1.090938	0.25625
0.218	0.0096875	0.0228125	0.8003125	1.430938	1.08875	0.26
0.219	0.006875	0.0209375	0.800625	1.431563	1.08875	0.2621875
0.22	0.0075	0.0196875	0.8003125	1.432187	1.0925	0.2584375
0.221	0.0071875	0.0246875	0.8	1.429375	1.09	0.2625
0.222	0.0053125	0.0215625	0.7984375	1.431875	1.08875	0.2640625
0.223	0.0096875	0.0228125	0.801875	1.43125	1.088125	0.2625
0.224	0.008125	0.0203125	0.800625	1.430313	1.088125	0.260625
0.225	0.009375	0.0240625	0.8003125	1.4325	1.087188	0.2590625
0.226	0.006875	0.0221875	0.8	1.43125	1.087813	0.260625
