Timestamp (s),Voltage Dev1/ai0,Voltage Dev1/ai1,Voltage Dev1/ai2,Voltage Dev1/ai3,Voltage Dev1/ai4,Voltage Dev1/ai5
0.0,-0.003259474992944489,0.008900345032882132,0.015144576920722158,0.008571701248984431,0.005942550976629879,0.0033134007021951573
0.001,-0.0019448998528856093,0.009886276384379361,0.014487289354138747,0.005613907192439135,0.006928482329007002,-0.0012876122830490638
0.002,-0.004245406348325778,0.010214920168146444,0.010214920168146444,0.009557632600579596,0.005285263408215932,-0.0019448998528856093
0.003,-0.0009589684981790719,0.0075857698970956955,0.012515426653599976,0.007257126113067641,0.006599838544913805,0.006271194760788107
0.004,-0.0006303247133412765,0.009228988816747191,0.012186782870062002,0.0075857698970956955,0.004627975839672088,0.002984756917744913
0.005,-0.004245406348325778,0.009557632600579596,0.010872207735582534,0.005942550976629879,0.003970688270998446,-0.002273543637852121
0.006,-0.0016162560679512522,0.009228988816747191,0.010543563951880844,0.00495661962396024,0.0075857698970956955,0.0013415379950083989
0.007,2.696285623762784e-05,0.005942550976629879,0.011858139086491262,0.00791441368109122,0.006599838544913805,0.002984756917744913
0.008,0.0010128942103641292,0.005613907192439135,0.010214920168146444,0.006271194760788107,0.005613907192439135,2.696285623762784e-05
0.009,-0.005559981489282981,0.0075857698970956955,0.01580186448717398,0.005613907192439135,0.005285263408215932,0.00035560664097872285
0.01,-0.002273543637852121,0.008900345032882132,0.014158645570797712,0.006599838544913805,0.005942550976629879,0.00035560664097872285
0.011,-0.005231337703995642,0.009886276384379361,0.015473220703964521,0.006928482329007002,0.005942550976629879,0.0019988255642000158
0.012,-0.0016162560679512522,0.006599838544913805,0.012186782870062002,0.006928482329007002,0.006599838544913805,0.002984756917744913
0.013,-0.0012876122830490638,0.006928482329007002,0.011200851519251515,0.008571701248984431,0.003642044486613011,0.0026561131332623056
0.014,-0.003916762563166601,0.006928482329007002,0.014487289354138747,0.005285263408215932,0.0026561131332623056,-0.0009589684981790719
0.015,-0.004245406348325778,0.009557632600579596,0.01481593313744689,0.005942550976629879,0.005613907192439135,0.0023274693487473352
0.016,-0.002273543637852121,0.008243057465054132,0.014158645570797712,0.005942550976629879,0.00791441368109122,0.003642044486613011
0.017,0.0016701817796203472,0.011200851519251515,0.014158645570797712,0.006928482329007002,0.006599838544913805,0.003642044486613011
0.018,-0.002602187422850774,0.0075857698970956955,0.013830001787423829,0.003642044486613011,0.005942550976629879,0.0026561131332623056
0.019,-0.0016162560679512522,0.00791441368109122,0.016130508270350494,0.006599838544913805,0.0023274693487473352,-0.0009589684981790719
0.02,-0.002273543637852121,0.006928482329007002,0.013830001787423829,0.004627975839672088,0.0026561131332623056,0.003642044486613011
0.021,-0.002602187422850774,0.0075857698970956955,0.015473220703964521,0.008900345032882132,0.005942550976629879,0.0019988255642000158
0.022,-0.003916762563166601,0.009886276384379361,0.01580186448717398,0.008900345032882132,0.004627975839672088,0.00035560664097872285
