Timestamp (s),Voltage Dev1/ai0,Voltage Dev1/ai1,Voltage Dev1/ai2,Voltage Dev1/ai3,Voltage Dev1/ai4,Voltage Dev1/ai5
0.0,0.03650642276238747,-0.011475569629913848,0.8111196897080369,-1.7822083770450603,-1.2438898645725391,0.20805847154450907
0.001,0.09138993372163785,0.05030946153815763,0.7983025868486373,-0.8077795221974725,-0.9836039656383919,0.18636798319703435
0.002,0.05359589933300082,0.018759658534575424,0.8196644248907059,-1.3868499173551185,-1.0460462907410075,0.18768255825343869
0.003,0.04636573617980263,0.003970688270998446,0.8242654361239424,-1.415770571106496,-1.0463749345561681,0.20378610264167094
0.004,0.04636573617980263,0.017773727185738636,0.7996171615055793,-1.3904649990860658,-1.0158110596918737,0.20904440282879005
0.005,2.696285623762784e-05,2.696285623762784e-05,2.696285623762784e-05,-0.00030168092853570527,2.696285623762784e-05,0.00035560664097872285
0.006,2.696285623762784e-05,0.00035560664097872285,0.0006842504256875659,-0.00030168092853570527,-0.00030168092853570527,0.00035560664097872285
0.007,0.00035560664097872285,2.696285623762784e-05,0.00035560664097872285,0.0006842504256875659,0.00035560664097872285,2.696285623762784e-05
0.008,0.00035560664097872285,0.00035560664097872285,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,2.696285623762784e-05
0.009,2.696285623762784e-05,2.696285623762784e-05,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,0.00035560664097872285
0.01,0.00035560664097872285,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05,0.00035560664097872285
0.011,0.04340794215779781,0.010872207735582534,0.8249227234418891,-1.4210288717645725,-1.0496613727070487,0.19852780244403376
0.012,0.05228132421547759,0.02204609636188047,0.8163779882873978,-1.433188692007443,-1.0736523711672927,0.17125037000223392
0.013,0.012186782870062002,-0.019363020500074463,0.7887719205538629,-1.4663817146218419,-0.3641103672159083,0.20345745887962616
0.014,0.030590834697299757,-0.02692182760095521,0.7963307248612183,-2.241980932628653,-1.5153496384841851,0.18308154555320236
0.015,0.0489948864192556,0.0006842504256875659,0.7986312305129731,-1.4440339370543696,-1.0943569314210864,0.1742081638948225
0.016,0.04505116105925354,0.0010128942103641292,0.8058613911114125,-1.1755319527517756,-0.9109736817626053,0.19458407728893856
0.017,0.04275065459697651,0.013830001787423829,0.7914010698821573,-0.5382915893910063,-0.6030344217796796,0.21528863428725226
0.018,0.061154706247997334,0.028947615788396996,0.8042181727964364,-1.7661048332428806,-1.0089095395466605,0.1935981459992483
0.019,0.06082606246946707,0.013172714220577544,0.8173639192691015,-1.4338459795869776,-1.063464412926063,0.18669662696119596
0.02,0.03979286057159441,-0.009832350700925502,0.8081618967495562,-1.4407474991648344,-1.068065426327007,0.18143832672977842
0.021,-0.002930831207881582,-0.002930831207881582,-0.013118788559695893,-0.4426562386575482,0.6957657603824329,0.005942550976629879
0.022,0.00035560664097872285,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05
0.023,2.696285623762784e-05,0.00035560664097872285,0.0006842504256875659,-0.00030168092853570527,-0.00030168092853570527,-0.00030168092853570527
0.024,0.00035560664097872285,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,0.0006842504256875659,0.00035560664097872285
0.025,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05,-0.00030168092853570527,0.00035560664097872285,0.00035560664097872285
0.026,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05,-0.00030168092853570527,2.696285623762784e-05,0.00035560664097872285
0.027,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,0.02598982175026268,0.021060165014036916,0.00035560664097872285
0.028,0.04505116105925354,0.0006842504256875659,0.8173639192691015,-1.4341746233767,-1.05163323559694,0.2001710212569217
0.029,0.048666242639444114,-0.002602187422850774,0.8101337587224832,-1.4361464861144047,-1.0549196737456865,0.1899830646005908
0.03,0.07068537581013656,0.033877272512585585,0.8038895291332395,-1.3983524501235853,-0.9339787490993525,0.20181424006878645
0.031,0.08054468911902567,0.04275065459697651,0.8203217122105543,-1.6671830618978116,-1.1919641431722352,0.1791378203753004
0.032,0.06345521269673127,0.03124812226062594,0.8068473220995919,-0.9251053659882866,-0.7611120996018222,0.21726049684996818
0.033,0.028947615788396996,-0.03645249744721529,0.8006030924975831,-2.2948925631210018,-1.527509458390254,0.17387952012913832
0.034,0.04472251727903074,0.03026219091558628,0.8147347699832056,-0.5977761206616976,-0.6142083116604885,0.19655593986722006
0.035,0.043736585938157255,-0.01673387020800128,0.8022463108162494,-1.5935668575879929,-1.2662376432394262,0.2008283087817905
0.036,0.05195268043601046,0.025003890403616696,0.8245940797829497,-1.4302308978980565,-1.063464412926063,0.17782324531471802
0.037,0.06871351314453278,0.010214920168146444,0.8127629080159444,-1.461780701604957,-1.083183041767592,0.18505340813998472
0.038,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,-0.00030168092853570527,2.696285623762784e-05,2.696285623762784e-05
0.039,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05
0.04,-0.00030168092853570527,2.696285623762784e-05,0.00035560664097872285,-0.00030168092853570527,-0.00030168092853570527,2.696285623762784e-05
0.041,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,0.00035560664097872285
0.042,2.696285623762784e-05,0.00035560664097872285,0.00035560664097872285,0.0006842504256875659,0.00035560664097872285,0.00035560664097872285
0.043,0.00035560664097872285,0.0006842504256875659,0.00035560664097872285,2.696285623762784e-05,-0.00030168092853570527,-0.00030168092853570527
0.044,0.039135573010024335,-0.006874556630752218,0.8042181727964364,-1.4502781690360977,-1.0762815216789392,0.19655593986722006
0.045,0.04110743569432679,-0.014433363704091734,0.8029035981432467,-1.4460057997866318,-1.0631357691116055,0.2031288151175403
0.046,0.04636573617980263,0.00429933205535149,0.8377398260873138,-2.462829465448199,-1.6625820491857122,0.18373883308229072
0.047,0.052609967994910196,0.005942550976629879,0.7887719205538629,-2.0480811547584956,-1.7115499697841015,0.19162628341877086
0.048,0.017445083402726977,-0.04499723595200364,0.7848281965534478,-2.425692735233392,-1.769062627010502,0.1742081638948225
0.049,0.022374740144428598,-0.003259474992944489,0.7821990472145327,-2.1611345871507264,-1.358915194776212,0.19819915868133353
0.05,0.06444114403137827,0.00429933205535149,0.7960020811964146,-1.9711785253720815,-1.3322950471977753,0.20575796521307632
0.051,0.04406522971848258,-0.012790144773676071,0.812434264354498,-1.7122072573026739,-1.1209770802294758,0.19228357094575904
0.052,0.07462910113752741,0.02697575309660831,0.8236081488057237,-1.3658167144904663,-1.0506473041520545,0.21890371565108563
0.053,0.056882337124386985,0.006599838544913805,0.8104624023844018,-1.4384469926403585,-1.0621498376681486,0.20049966501937658
0.054,0.033877272512585585,-0.0058886252746023215,0.8117769770314024,-1.4561937572191002,-1.092713712355487,0.19425543352574914
0.055,2.696285623762784e-05,0.00035560664097872285,0.00035560664097872285,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05
0.056,0.00035560664097872285,0.00035560664097872285,-0.00030168092853570527,0.0006842504256875659,0.0010128942103641292,0.0006842504256875659
0.057,0.00035560664097872285,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,2.696285623762784e-05,0.00035560664097872285
0.058,2.696285623762784e-05,2.696285623762784e-05,0.00035560664097872285,-0.00030168092853570527,0.0006842504256875659,2.696285623762784e-05
0.059,0.00035560664097872285,0.00035560664097872285,0.0010128942103641292,2.696285623762784e-05,-0.00030168092853570527,2.696285623762784e-05
0.06,-0.00030168092853570527,0.00035560664097872285,2.696285623762784e-05,0.0006842504256875659,0.0006842504256875659,2.696285623762784e-05
0.061,0.04209336703601882,-0.014104719917945319,0.7953447938666068,-1.454221894492542,-1.0687227139554887,0.20148559630649546
